epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3386.77,0.82593,1.176,0.84846,0.00679,0.56472,0.5411,0.80627,0.6279,0.52088,0.54996,0.81263,0.63729,0.51655,0.71809,1.00311,0.66245,0.00786,0,0.000271099,0.000271099,0.000271099
29,3506.1,0.81813,1.16585,0.83713,0.00671,0.56456,0.52001,0.74638,0.60141,0.50179,0.52291,0.74923,0.60719,0.48779,0.71151,1.00615,0.74275,0.00775,0,0.000267436,0.000267436,0.000267436
30,3626.17,0.82115,1.16359,0.83326,0.0068,0.56422,0.54097,0.75023,0.60623,0.49957,0.54595,0.75777,0.61448,0.49089,0.71336,1.00099,0.71582,0.00781,0,0.000263773,0.000263773,0.000263773
31,3744.87,0.82027,1.15529,0.81562,0.00683,0.53528,0.57926,0.78466,0.65336,0.54048,0.58622,0.78731,0.65956,0.53042,0.70479,0.99333,0.65878,0.00755,0,0.00026011,0.00026011,0.00026011
32,3861.83,0.80916,1.15047,0.80615,0.00671,0.54548,0.48107,0.76073,0.55513,0.46378,0.48589,0.74435,0.56121,0.45483,0.7134,0.9981,0.80588,0.00766,0,0.000256447,0.000256447,0.000256447
33,3982.04,0.81407,1.13669,0.80223,0.00654,0.54646,0.55804,0.79899,0.65429,0.54463,0.5636,0.80777,0.6618,0.53546,0.70779,0.99676,0.62761,0.00766,0,0.000252784,0.000252784,0.000252784
34,4102.52,0.81745,1.15894,0.81089,0.00674,0.54695,0.57969,0.8061,0.67008,0.55274,0.58806,0.81611,0.68068,0.54221,0.71519,1.01067,0.62084,0.00775,0,0.000249121,0.000249121,0.000249121
35,4222,0.80992,1.15382,0.79153,0.00657,0.52533,0.53665,0.80189,0.6188,0.51737,0.54361,0.80055,0.62932,0.50738,0.70822,0.99968,0.66945,0.00756,0,0.000245458,0.000245458,0.000245458
36,4340.68,0.80965,1.13511,0.78177,0.00666,0.52546,0.52628,0.79603,0.63039,0.52765,0.53233,0.8093,0.6407,0.5131,0.702,0.99527,0.64779,0.00759,0,0.000241795,0.000241795,0.000241795
37,4460.93,0.80114,1.1293,0.77847,0.00655,0.52398,0.54963,0.7605,0.61802,0.51664,0.55476,0.76448,0.62491,0.5073,0.70329,0.97439,0.64806,0.00754,0,0.000238132,0.000238132,0.000238132
38,4580.8,0.8067,1.13094,0.77152,0.00659,0.52083,0.54416,0.81722,0.625,0.52517,0.54836,0.81723,0.63431,0.50725,0.69502,0.98561,0.66206,0.00737,0,0.000234469,0.000234469,0.000234469
